date,program,window,category,start_time,end_time,total_time,percent
06/05/2025,python,Time Tracker,Misc,23:55:01,23:55:15,0.23,4.81%
06/05/2025,Code,main.py - time_logger - Visual Studio Code,Study,23:55:15,23:55:41,0.43,8.93%
06/05/2025,explorer,explorer,Misc,23:55:41,23:55:49,0.13,2.75%
06/05/2025,EXCEL.EXE,פתיחה - Excel,Study,23:55:49,23:56:08,0.32,6.53%
06/05/2025,explorer,report - סייר הקבצים,Misc,23:56:08,23:56:14,0.1,2.06%
06/05/2025,EXCEL.EXE,פתיחה - Excel,Study,23:56:14,23:56:30,0.27,5.5%
06/05/2025,explorer,log - סייר הקבצים,Misc,23:56:30,23:56:34,0.07,1.37%
06/05/2025,python,Time Tracker,Misc,23:56:34,23:56:56,0.37,7.56%
06/05/2025,Code,main.py - time_logger - Visual Studio Code,Study,23:56:56,23:58:49,1.88,38.83%
06/05/2025,ShellHost,הגדרות מהירות,Misc,23:58:49,23:58:57,0.13,2.75%
06/05/2025,explorer,explorer,Misc,23:58:57,23:58:59,0.03,0.69%
06/05/2025,Code,main.py - time_logger - Visual Studio Code,Study,23:58:59,23:59:01,0.03,0.69%
06/05/2025,explorer,‏‏מעבר בין משימות,Misc,23:59:01,23:59:04,0.05,1.03%
06/05/2025,firefox,(1) WhatsApp — Mozilla Firefox,Break,23:59:04,23:59:31,0.45,9.28%
06/05/2025,python,Time Tracker,Misc,23:59:31,23:59:52,0.35,7.22%
07/05/2025,firefox,(1) WhatsApp — Mozilla Firefox,Break,23:59:52,00:07:24,7.52,102.2%
07/05/2025,ShellHost,הגדרות מהירות,Misc,00:07:24,00:07:29,0.08,-0.01%
07/05/2025,firefox,WhatsApp — Mozilla Firefox,Break,00:07:29,00:08:26,0.95,-0.07%
07/05/2025,python,Time Tracker,Misc,00:08:26,00:08:27,0.02,-0.0%
07/05/2025,Code,main.py - time_logger - Visual Studio Code,Study,00:08:27,00:10:00,1.55,-0.11%
07/05/2025,firefox,(1) WhatsApp — Mozilla Firefox,Break,00:10:00,00:14:31,4.52,-0.32%
07/05/2025,Code,main.py - time_logger - Visual Studio Code,Study,00:14:31,00:14:41,0.17,-0.01%
07/05/2025,python,Time Tracker,Misc,00:14:41,00:15:15,0.57,-0.04%
07/05/2025,firefox,"BTCUSDT 94,588.63 ▼ −0.15% Crypto — Mozilla Firefox",Break,00:15:15,00:15:19,0.07,-0.0%
07/05/2025,python,Time Tracker,Misc,00:15:19,00:15:24,0.08,-0.01%
07/05/2025,Code,main.py - time_logger - Visual Studio Code,Study,00:15:24,00:17:29,2.08,-0.15%
